taxon	host	major_clade	minor_clade	cluster	sequenceID	everything	isolate	sequenceID_plus_isolate_plus_minor_clade	sequenceID_plus_cluster
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685962	Mephitis mephitis	Bats	EF-W1	-	JQ685962	JQ685962/Bats/EF-W1/-/Mephitis mephitis}	SM5441	JQ685962/SM5441/EF-W1	JQ685962/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685963	Nasua narica	Bats	TB	-	JQ685963	JQ685963/Bats/TB/-/Nasua narica}	Coati -3639	JQ685963/Coati -3639/TB	JQ685963/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685964	Mephitis mephitis	Bats	EF-W1	-	JQ685964	JQ685964/Bats/EF-W1/-/Mephitis mephitis}	SM5596	JQ685964/SM5596/EF-W1	JQ685964/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685965	Parastrellus hesperos	Bats	PH	-	JQ685965	JQ685965/Bats/PH/-/Parastrellus hesperos}	A02-2972	JQ685965/A02-2972/PH	JQ685965/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685966	Mephitis mephitis	Bats	EF-W1	-	JQ685966	JQ685966/Bats/EF-W1/-/Mephitis mephitis}	SM5470	JQ685966/SM5470/EF-W1	JQ685966/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685967	Mephitis mephitis	Cosmopolitan	AM1	-	JQ685967	JQ685967/Cosmopolitan/AM1/-/Mephitis mephitis}	NC1234	JQ685967/NC1234/AM1	JQ685967/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685968	Mephitis mephitis	RAC-SK	-	-	JQ685968	JQ685968/RAC-SK/-/-/Mephitis mephitis}	A10-0512	JQ685968/A10-0512/-	JQ685968/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685969	Mephitis mephitis	Bats	EF-W1	-	JQ685969	JQ685969/Bats/EF-W1/-/Mephitis mephitis}	SM5440	JQ685969/SM5440/EF-W1	JQ685969/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685970	Mephitis mephitis	Cosmopolitan	AM4	-	JQ685970	JQ685970/Cosmopolitan/AM4/-/Mephitis mephitis}	CASK2	JQ685970/CASK2/AM4	JQ685970/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685971	Antrozous pallidus	Bats	AP	-	JQ685971	JQ685971/Bats/AP/-/Antrozous pallidus}	AZ3003	JQ685971/AZ3003/AP	JQ685971/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685972	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685972	JQ685972/Bats/EF-W1/-/Urocyon cinereoargenteus}	2395	JQ685972/2395/EF-W1	JQ685972/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685973	Canis latrans	Bats	EF-W2	-	JQ685973	JQ685973/Bats/EF-W2/-/Canis latrans}	A11-1043	JQ685973/A11-1043/EF-W2	JQ685973/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685974	Eptesicus fuscus	Bats	EF-W1	-	JQ685974	JQ685974/Bats/EF-W1/-/Eptesicus fuscus}	SM3844	JQ685974/SM3844/EF-W1	JQ685974/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685975	Spilogale putorius	Cosmopolitan	Vac2	-	JQ685975	JQ685975/Cosmopolitan/Vac2/-/Spilogale putorius}	MEXSK3636	JQ685975/MEXSK3636/Vac2	JQ685975/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685976	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685976	JQ685976/Bats/EF-W1/-/Urocyon cinereoargenteus}	2526	JQ685976/2526/EF-W1	JQ685976/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685977	Urocyon cinereoargenteus	Bats	EF-W2	-	JQ685977	JQ685977/Bats/EF-W2/-/Urocyon cinereoargenteus}	OR58	JQ685977/OR58/EF-W2	JQ685977/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685978	Urocyon cinereoargenteus	Bats	MYsp	-	JQ685978	JQ685978/Bats/MYsp/-/Urocyon cinereoargenteus}	OR59	JQ685978/OR59/MYsp	JQ685978/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685979	Urocyon cinereoargenteus	Bats	MYsp	-	JQ685979	JQ685979/Bats/MYsp/-/Urocyon cinereoargenteus}	OR43	JQ685979/OR43/MYsp	JQ685979/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685980	Canis familiaris	Arctic	A	-	JQ685980	JQ685980/Arctic/A/-/Canis familiaris}	A0905	JQ685980/A0905/A	JQ685980/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685981	Homo sapiens	Arctic	AL1a	-	JQ685981	JQ685981/Arctic/AL1a/-/Homo sapiens}	rv61	JQ685981/rv61/AL1a	JQ685981/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685982	Vulpes lagopus	Arctic	A	-	JQ685982	JQ685982/Arctic/A/-/Vulpes lagopus}	483a	JQ685982/483a/A	JQ685982/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685983	Vulpes corsac	Arctic	AL2	-	JQ685983	JQ685983/Arctic/AL2/-/Vulpes corsac}	304c	JQ685983/304c/AL2	JQ685983/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685984	Urocyon cinereoargenteus	Cosmopolitan	Vac2	-	JQ685984	JQ685984/Cosmopolitan/Vac2/-/Urocyon cinereoargenteus}	A10-3020	JQ685984/A10-3020/Vac2	JQ685984/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685985	Urocyon cinereoargenteus	Cosmopolitan	AM2a	-	JQ685985	JQ685985/Cosmopolitan/AM2a/-/Urocyon cinereoargenteus}	A10-3932	JQ685985/A10-3932/AM2a	JQ685985/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685986	Mephitis mephitis	RAC-SK	-	-	JQ685986	JQ685986/RAC-SK/-/-/Mephitis mephitis}	A10-3013	JQ685986/A10-3013/-	JQ685986/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685987	Vulpes vulpes	Cosmopolitan	AM1	-	JQ685987	JQ685987/Cosmopolitan/AM1/-/Vulpes vulpes}	A10-6931	JQ685987/A10-6931/AM1	JQ685987/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685988	Vulpes vulpes	Arctic	A	-	JQ685988	JQ685988/Arctic/A/-/Vulpes vulpes}	A10-1431	JQ685988/A10-1431/A	JQ685988/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685989	Urocyon cinereoargenteus	Cosmopolitan	AM2a	-	JQ685989	JQ685989/Cosmopolitan/AM2a/-/Urocyon cinereoargenteus}	A10-001	JQ685989/A10-001/AM2a	JQ685989/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685990	Vulpes vulpes	Arctic	A	-	JQ685990	JQ685990/Arctic/A/-/Vulpes vulpes}	Fox-9064	JQ685990/Fox-9064/A	JQ685990/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685991	Canis lupus	RAC-SK	-	-	JQ685991	JQ685991/RAC-SK/-/-/Canis lupus}	A09-0255	JQ685991/A09-0255/-	JQ685991/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685992	Bos taurus	Indian-Sub	-	-	JQ685992	JQ685992/Indian-Sub/-/-/Bos taurus}	SL-cow	JQ685992/SL-cow/-	JQ685992/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685993	Felis catus	RAC-SK	-	-	JQ685993	JQ685993/RAC-SK/-/-/Felis catus}	A08-0500	JQ685993/A08-0500/-	JQ685993/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685994	Canis latrans	RAC-SK	-	-	JQ685994	JQ685994/RAC-SK/-/-/Canis latrans}	A09-0103	JQ685994/A09-0103/-	JQ685994/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685995	Urocyon cinereoargenteus	Cosmopolitan	Vac2	-	JQ685995	JQ685995/Cosmopolitan/Vac2/-/Urocyon cinereoargenteus}	Fox-8007	JQ685995/Fox-8007/Vac2	JQ685995/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685996	Eptesicus fuscus	Bats	EF-E2	-	JQ685996	JQ685996/Bats/EF-E2/-/Eptesicus fuscus}	A09-2561	JQ685996/A09-2561/EF-E2	JQ685996/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685997	Myotis sp	Bats	MYsp 	-	JQ685997	JQ685997/Bats/MYsp /-/Myotis sp}	A10-5170	JQ685997/A10-5170/MYsp 	JQ685997/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685998	Myotis sp	Bats	MYsp 	-	JQ685998	JQ685998/Bats/MYsp /-/Myotis sp}	T91-0038	JQ685998/T91-0038/MYsp 	JQ685998/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685999	Lasiurus cinereus	Bats	LC	-	JQ685999	JQ685999/Bats/LC/-/Lasiurus cinereus}	T94-0237	JQ685999/T94-0237/LC	JQ685999/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686000	Perimyotis subflavus	Bats	PS	-	JQ686000	JQ686000/Bats/PS/-/Perimyotis subflavus}	US07-010	JQ686000/US07-010/PS	JQ686000/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686001	Lasionycteris noctivagans	Bats	LN	-	JQ686001	JQ686001/Bats/LN/-/Lasionycteris noctivagans}	AW3565	JQ686001/AW3565/LN	JQ686001/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686002	Eptesicus fuscus	Bats	EF-E1	-	JQ686002	JQ686002/Bats/EF-E1/-/Eptesicus fuscus}	VS120-109	JQ686002/VS120-109/EF-E1	JQ686002/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686003	Perimyotis subflavus	Bats	PS	-	JQ686003	JQ686003/Bats/PS/-/Perimyotis subflavus}	A10-5102	JQ686003/A10-5102/PS	JQ686003/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686004	Lasionycteris noctivagans	Bats	LN	-	JQ686004	JQ686004/Bats/LN/-/Lasionycteris noctivagans}	A10-3672	JQ686004/A10-3672/LN	JQ686004/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686005	Lasiurus intermedius	Bats	LI	-	JQ686005	JQ686005/Bats/LI/-/Lasiurus intermedius}	A10-3653	JQ686005/A10-3653/LI	JQ686005/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686006	Antrozous pallidus	Bats	AP	-	JQ686006	JQ686006/Bats/AP/-/Antrozous pallidus}	WR93-1654	JQ686006/WR93-1654/AP	JQ686006/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686007	Lasiurus borealis	Bats	LB	-	JQ686007	JQ686007/Bats/LB/-/Lasiurus borealis}	LAH60	JQ686007/LAH60/LB	JQ686007/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686008	Urocyon cinereoargenteus	Bats	MYu	-	JQ686008	JQ686008/Bats/MYu/-/Urocyon cinereoargenteus}	A11-5404	JQ686008/A11-5404/MYu	JQ686008/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686009	Vulpes vulpes	Bats	PS	-	JQ686009	JQ686009/Bats/PS/-/Vulpes vulpes}	A11-5737	JQ686009/A11-5737/PS	JQ686009/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686010	Fox (unidentified)	Bats	EF-E1	-	JQ686010	JQ686010/Bats/EF-E1/-/Fox (unidentified)}	A11-6191	JQ686010/A11-6191/EF-E1	JQ686010/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686011	Urocyon cinereoargenteus	Bats	MYsp 	-	JQ686011	JQ686011/Bats/MYsp /-/Urocyon cinereoargenteus}	OR-062011	JQ686011/OR-062011/MYsp 	JQ686011/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686012	Urocyon cinereoargenteus	Bats	MYsp	-	JQ686012	JQ686012/Bats/MYsp/-/Urocyon cinereoargenteus}	OR59	JQ686012/OR59/MYsp	JQ686012/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ686013	Urocyon cinereoargenteus	Bats	MYsp	-	JQ686013	JQ686013/Bats/MYsp/-/Urocyon cinereoargenteus}	OR43	JQ686013/OR43/MYsp	JQ686013/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ730682	Canis familiaris	Asian	SEA3	-	JQ730682	JQ730682/Asian/SEA3/-/Canis familiaris}	CYN1009D	JQ730682/CYN1009D/SEA3	JQ730682/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ944704	Nyctereutes procyonoides	Cosmopolitan	NEE	-	JQ944704	JQ944704/Cosmopolitan/NEE/-/Nyctereutes procyonoides}	184VNO	JQ944704/184VNO/NEE	JQ944704/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ944705	Canis familiaris	Cosmopolitan	CA1	-	JQ944705	JQ944705/Cosmopolitan/CA1/-/Canis familiaris}	1350KRA	JQ944705/1350KRA/CA1	JQ944705/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ944706	Canis familiaris	Cosmopolitan	CA2	-	JQ944706	JQ944706/Cosmopolitan/CA2/-/Canis familiaris}	1352KRA	JQ944706/1352KRA/CA2	JQ944706/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ944707	Und.	Arctic	A	-	JQ944707	JQ944707/Arctic/A/-/Und.}	1410KOM	JQ944707/1410KOM/A	JQ944707/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ944708	Vulpes vulpes	Cosmopolitan	CA3	-	JQ944708	JQ944708/Cosmopolitan/CA3/-/Vulpes vulpes}	1564NNO	JQ944708/1564NNO/CA3	JQ944708/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970480	Canis familiaris	Asian	SEA2a	-	JQ970480	JQ970480/Asian/SEA2a/-/Canis familiaris}	CHN0802D	JQ970480/CHN0802D/SEA2a	JQ970480/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970481	Canis familiaris	Asian	SEA1b	-	JQ970481	JQ970481/Asian/SEA1b/-/Canis familiaris}	CJS0621D	JQ970481/CJS0621D/SEA1b	JQ970481/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970482	Canis familiaris	Asian	SEA1b	-	JQ970482	JQ970482/Asian/SEA1b/-/Canis familiaris}	CJS0636D	JQ970482/CJS0636D/SEA1b	JQ970482/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970483	Canis familiaris	Asian	SEA1b	-	JQ970483	JQ970483/Asian/SEA1b/-/Canis familiaris}	CJS0848D	JQ970483/CJS0848D/SEA1b	JQ970483/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970484	Canis familiaris	Asian	SEA1b	-	JQ970484	JQ970484/Asian/SEA1b/-/Canis familiaris}	CJX0903D	JQ970484/CJX0903D/SEA1b	JQ970484/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970485	Canis familiaris	Asian	SEA1b	-	JQ970485	JQ970485/Asian/SEA1b/-/Canis familiaris}	CJX0906D	JQ970485/CJX0906D/SEA1b	JQ970485/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970486	Canis familiaris	Asian	SEA1b	-	JQ970486	JQ970486/Asian/SEA1b/-/Canis familiaris}	CSD0708D	JQ970486/CSD0708D/SEA1b	JQ970486/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970487	Canis familiaris	Asian	SEA1b	-	JQ970487	JQ970487/Asian/SEA1b/-/Canis familiaris}	CSX0904D	JQ970487/CSX0904D/SEA1b	JQ970487/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JX088694	Sus domesticus	Asian	SEA2a	-	JX088694	JX088694/Asian/SEA2a/-/Sus domesticus}	GD_SH_01	JX088694/GD_SH_01/SEA2a	JX088694/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JX473838	Und.	Cosmopolitan	AF1b	-	JX473838	JX473838/Cosmopolitan/AF1b/-/Und.}	178J09	JX473838/178J09/AF1b	JX473838/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JX473839	Und.	Cosmopolitan	AF1b	-	JX473839	JX473839/Cosmopolitan/AF1b/-/Und.}	192J09	JX473839/192J09/AF1b	JX473839/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JX473840	Tragelaphus strepsiceros	Cosmopolitan	AF1b	-	JX473840	JX473840/Cosmopolitan/AF1b/-/Tragelaphus strepsiceros}	239K09	JX473840/239K09/AF1b	JX473840/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JX473841	Tragelaphus strepsiceros	Cosmopolitan	AF1b	-	JX473841	JX473841/Cosmopolitan/AF1b/-/Tragelaphus strepsiceros}	240K09	JX473841/240K09/AF1b	JX473841/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC169986	Bos taurus	Asian	SEA1b	-	KC169986	KC169986/Asian/SEA1b/-/Bos taurus}	GXHXN	KC169986/GXHXN/SEA1b	KC169986/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC171643	Bos taurus	Arctic	AL2	-	KC171643	KC171643/Arctic/AL2/-/Bos taurus}	08F40	KC171643/08F40/AL2	KC171643/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC171644	Nyctereutes procyonoides	Arctic	AL2	-	KC171644	KC171644/Arctic/AL2/-/Nyctereutes procyonoides}	BD0406CC	KC171644/BD0406CC/AL2	KC171644/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC171645	Nyctereutes procyonoides	Arctic	AL2	-	KC171645	KC171645/Arctic/AL2/-/Nyctereutes procyonoides}	BV9901PJ	KC171645/BV9901PJ/AL2	KC171645/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC193267	Bos taurus	Asian	SEA1b	-	KC193267	KC193267/Asian/SEA1b/-/Bos taurus}	CNM1101C	KC193267/CNM1101C/SEA1b	KC193267/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC196743	Canis familiaris	Africa-2	-	-	KC196743	KC196743/Africa-2/-/-/Canis familiaris}	DRV_NG11	KC196743/DRV_NG11/-	KC196743/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC252634	Canis familiaris	Asian	SEA1b	-	KC252634	KC252634/Asian/SEA1b/-/Canis familiaris}	CNM1104D	KC252634/CNM1104D/SEA1b	KC252634/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC595280	Vulpes vulpes	Cosmopolitan	CA1	-	KC595280	KC595280/Cosmopolitan/CA1/-/Vulpes vulpes}	8052f	KC595280/8052f/CA1	KC595280/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC595281	Felis catus	Cosmopolitan	CA1	-	KC595281	KC595281/Cosmopolitan/CA1/-/Felis catus}	8053c	KC595281/8053c/CA1	KC595281/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC595282	Vulpes vulpes	Cosmopolitan	CA1	-	KC595282	KC595282/Cosmopolitan/CA1/-/Vulpes vulpes}	8054f	KC595282/8054f/CA1	KC595282/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC595283	Vulpes vulpes	Cosmopolitan	CA1	-	KC595283	KC595283/Cosmopolitan/CA1/-/Vulpes vulpes}	8057f	KC595283/8057f/CA1	KC595283/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC737850	Homo sapiens	Cosmopolitan	AM3a	-	KC737850	KC737850/Cosmopolitan/AM3a/-/Homo sapiens}	A11_5300	KC737850/A11_5300/AM3a	KC737850/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC762941	Melogale moschata	Asian	SEA1b	-	KC762941	KC762941/Asian/SEA1b/-/Melogale moschata}	JX09_17	KC762941/JX09_17/SEA1b	KC762941/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC977995	Canis familiaris	Asian	SEA1b	-	KC977995	KC977995/Asian/SEA1b/-/Canis familiaris}	Shaanxi_HZ	KC977995/Shaanxi_HZ/SEA1b	KC977995/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF154996	Homo sapiens	Arctic	AL1a	-	KF154996	KF154996/Arctic/AL1a/-/Homo sapiens}	RV61	KF154996/RV61/AL1a	KF154996/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF154997	Nyctereutes procyonoides	Cosmopolitan	NEE	-	KF154997	KF154997/Cosmopolitan/NEE/-/Nyctereutes procyonoides}	RV437	KF154997/RV437/NEE	KF154997/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF154998	Canis familiaris	Cosmopolitan	AF4	-	KF154998	KF154998/Cosmopolitan/AF4/-/Canis familiaris}	RV2324	KF154998/RV2324/AF4	KF154998/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF154999	Canis familiaris	Indian-Sub	-	-	KF154999	KF154999/Indian-Sub/-/-/Canis familiaris}	RV2417	KF154999/RV2417/-	KF154999/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF155000	Bos taurus	Cosmopolitan	CA2	-	KF155000	KF155000/Cosmopolitan/CA2/-/Bos taurus}	RV2516	KF155000/RV2516/CA2	KF155000/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF155001	Bos taurus	Cosmopolitan	AF1a	-	KF155001	KF155001/Cosmopolitan/AF1a/-/Bos taurus}	RV2627	KF155001/RV2627/AF1a	KF155001/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF155002	Canis familiaris	Cosmopolitan	AF1b	-	KF155002	KF155002/Cosmopolitan/AF1b/-/Canis familiaris}	RV2772	KF155002/RV2772/AF1b	KF155002/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF620487	Melogale moschata	Asian	SEA5	-	KF620487	KF620487/Asian/SEA5/-/Melogale moschata}	R2012_26	KF620487/R2012_26/SEA5	KF620487/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF620488	Melogale moschata	Asian	SEA5	-	KF620488	KF620488/Asian/SEA5/-/Melogale moschata}	R2012_88	KF620488/R2012_88/SEA5	KF620488/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF620489	Melogale moschata	Asian	SEA5	-	KF620489	KF620489/Asian/SEA5/-/Melogale moschata}	R2013_01	KF620489/R2013_01/SEA5	KF620489/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF726852	Melogale moschata	Asian	SEA2b	-	KF726852	KF726852/Asian/SEA2b/-/Melogale moschata}	JX09_18	KF726852/JX09_18/SEA2b	KF726852/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF726853	Melogale moschata	Asian	SEA1b	-	KF726853	KF726853/Asian/SEA1b/-/Melogale moschata}	JX10_37	KF726853/JX10_37/SEA1b	KF726853/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF977826	Homo sapiens	Africa-2	-	-	KF977826	KF977826/Africa-2/-/-/Homo sapiens}	CAR_11_001	KF977826/CAR_11_001/-	KF977826/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KJ004416	Homo sapiens	Asian	SEA1b	-	KJ004416	KJ004416/Asian/SEA1b/-/Homo sapiens}	JZ13_Lv	KJ004416/JZ13_Lv/SEA1b	KJ004416/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KJ564280	Dama dama	Asian	SEA1b	-	KJ564280	KJ564280/Asian/SEA1b/-/Dama dama}	IMDRV_13	KJ564280/IMDRV_13/SEA1b	KJ564280/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KM016899	Vulpes vulpes	Cosmopolitan	CA1	-	KM016899	KM016899/Cosmopolitan/CA1/-/Vulpes vulpes}	WQ14_RF	KM016899/WQ14_RF/CA1	KM016899/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KM272192	Canis familiaris	Arctic	AL2	-	KM272192	KM272192/Arctic/AL2/-/Canis familiaris}	CQH1202D	KM272192/CQH1202D/AL2	KM272192/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KP723638	Canis simensis	Cosmopolitan	AF1a	-	KP723638	KP723638/Cosmopolitan/AF1a/-/Canis simensis}	RV2985	KP723638/RV2985/AF1a	KP723638/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148100	Phyllostomidae stenodermatinae	Bats	DR	-	KX148100	KX148100/Bats/DR/-/Phyllostomidae stenodermatinae}	09035FRA	KX148100/09035FRA/DR	KX148100/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148101	Homo sapiens	Cosmopolitan	AF4	-	KX148101	KX148101/Cosmopolitan/AF4/-/Homo sapiens}	86092EGY	KX148101/86092EGY/AF4	KX148101/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148102	Canis familiaris	Cosmopolitan	AM2a	-	KX148102	KX148102/Cosmopolitan/AM2a/-/Canis familiaris}	91026MEX	KX148102/91026MEX/AM2a	KX148102/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148103	Homo sapiens	Cosmopolitan	AF1b	-	KX148103	KX148103/Cosmopolitan/AF1b/-/Homo sapiens}	87021AFS	KX148103/87021AFS/AF1b	KX148103/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148104	Bos taurus	Cosmopolitan	YUGCOW	-	KX148104	KX148104/Cosmopolitan/YUGCOW/-/Bos taurus}	86058YOU	KX148104/86058YOU/YUGCOW	KX148104/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148105	Canis familiaris	Arctic	A	-	KX148105	KX148105/Arctic/A/-/Canis familiaris}	86083GRO	KX148105/86083GRO/A	KX148105/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148106	Vulpes vulpes	Arctic	A	-	KX148106	KX148106/Arctic/A/-/Vulpes vulpes}	91005USA	KX148106/91005USA/A	KX148106/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148107	Felis catus	Africa-2	-	-	KX148107	KX148107/Africa-2/-/-/Felis catus}	86097BEN	KX148107/86097BEN/-	KX148107/-
