taxon	host	major_clade	minor_clade	sequenceID	combined
alignment/AL_Cosmopolitan_AM3a/member/ncbi-refseqs/KC737850	Homo sapiens	Cosmopolitan	AM3a	KC737850	KC737850/Cosmopolitan/AM3a/Homo sapiens}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KC762941	Melogale moschata	Asian	SEA1b	KC762941	KC762941/Asian/SEA1b/Melogale moschata}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KC977995	Canis familiaris	Asian	SEA1b	KC977995	KC977995/Asian/SEA1b/Canis familiaris}
alignment/AL_Arctic/member/ncbi-refseqs/KF154996	Homo sapiens	Arctic	AL1a	KF154996	KF154996/Arctic/AL1a/Homo sapiens}
alignment/AL_Arctic_AL1a/member/ncbi-refseqs/KF154996	Homo sapiens	Arctic	AL1a	KF154996	KF154996/Arctic/AL1a/Homo sapiens}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KF154997	Nyctereutes procyonoides	Cosmopolitan	NEE	KF154997	KF154997/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_AF4/member/ncbi-refseqs/KF154998	Canis familiaris	Cosmopolitan	AF4	KF154998	KF154998/Cosmopolitan/AF4/Canis familiaris}
alignment/AL_Indian-Sub/member/ncbi-refseqs/KF154999	Canis familiaris	Indian-Sub	-	KF154999	KF154999/Indian-Sub/-/Canis familiaris}
alignment/AL_MASTER/member/ncbi-refseqs/KF154999	Canis familiaris	Indian-Sub	-	KF154999	KF154999/Indian-Sub/-/Canis familiaris}
alignment/AL_Cosmopolitan_CA2/member/ncbi-refseqs/KF155000	Bos taurus	Cosmopolitan	CA2	KF155000	KF155000/Cosmopolitan/CA2/Bos taurus}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KF155001	Bos taurus	Cosmopolitan	AF1a	KF155001	KF155001/Cosmopolitan/AF1a/Bos taurus}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KF155001	Bos taurus	Cosmopolitan	AF1a	KF155001	KF155001/Cosmopolitan/AF1a/Bos taurus}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/KF155002	Canis familiaris	Cosmopolitan	AF1b	KF155002	KF155002/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_Asian_SEA5/member/ncbi-refseqs/KF620487	Melogale moschata	Asian	SEA5	KF620487	KF620487/Asian/SEA5/Melogale moschata}
alignment/AL_Asian/member/ncbi-refseqs/KF620488	Melogale moschata	Asian	SEA5	KF620488	KF620488/Asian/SEA5/Melogale moschata}
alignment/AL_Asian_SEA5/member/ncbi-refseqs/KF620488	Melogale moschata	Asian	SEA5	KF620488	KF620488/Asian/SEA5/Melogale moschata}
alignment/AL_Asian_SEA5/member/ncbi-refseqs/KF620489	Melogale moschata	Asian	SEA5	KF620489	KF620489/Asian/SEA5/Melogale moschata}
alignment/AL_Asian_SEA2b/member/ncbi-refseqs/KF726852	Melogale moschata	Asian	SEA2b	KF726852	KF726852/Asian/SEA2b/Melogale moschata}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KF726853	Melogale moschata	Asian	SEA1b	KF726853	KF726853/Asian/SEA1b/Melogale moschata}
alignment/AL_Africa-2/member/ncbi-refseqs/KF977826	Homo sapiens	Africa-2	-	KF977826	KF977826/Africa-2/-/Homo sapiens}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KJ004416	Homo sapiens	Asian	SEA1b	KJ004416	KJ004416/Asian/SEA1b/Homo sapiens}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KJ564280	Dama dama	Asian	SEA1b	KJ564280	KJ564280/Asian/SEA1b/Dama dama}
alignment/AL_Cosmopolitan_CA1/member/ncbi-refseqs/KM016899	Vulpes vulpes	Cosmopolitan	CA1	KM016899	KM016899/Cosmopolitan/CA1/Vulpes vulpes}
alignment/AL_Arctic_AL2/member/ncbi-refseqs/KM272192	Canis familiaris	Arctic	AL2	KM272192	KM272192/Arctic/AL2/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KP723638	Canis simensis	Cosmopolitan	AF1a	KP723638	KP723638/Cosmopolitan/AF1a/Canis simensis}
alignment/AL_Bats_DR/member/ncbi-refseqs/KX148100	Phyllostomidae stenodermatinae	Bats	DR	KX148100	KX148100/Bats/DR/Phyllostomidae stenodermatinae}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148101	Homo sapiens	Cosmopolitan	AF4	KX148101	KX148101/Cosmopolitan/AF4/Homo sapiens}
alignment/AL_Cosmopolitan_AF4/member/ncbi-refseqs/KX148101	Homo sapiens	Cosmopolitan	AF4	KX148101	KX148101/Cosmopolitan/AF4/Homo sapiens}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/KX148102	Canis familiaris	Cosmopolitan	AM2a	KX148102	KX148102/Cosmopolitan/AM2a/Canis familiaris}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148103	Homo sapiens	Cosmopolitan	AF1b	KX148103	KX148103/Cosmopolitan/AF1b/Homo sapiens}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/KX148103	Homo sapiens	Cosmopolitan	AF1b	KX148103	KX148103/Cosmopolitan/AF1b/Homo sapiens}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148104	Bos taurus	Cosmopolitan	Cosmopolitan	KX148104	KX148104/Cosmopolitan/Cosmopolitan/Bos taurus}
alignment/AL_Arctic_A/member/ncbi-refseqs/KX148105	Canis familiaris	Arctic	A	KX148105	KX148105/Arctic/A/Canis familiaris}
alignment/AL_Arctic/member/ncbi-refseqs/KX148106	Vulpes vulpes	Arctic	A	KX148106	KX148106/Arctic/A/Vulpes vulpes}
alignment/AL_Arctic_A/member/ncbi-refseqs/KX148106	Vulpes vulpes	Arctic	A	KX148106	KX148106/Arctic/A/Vulpes vulpes}
alignment/AL_MASTER/member/ncbi-refseqs/KX148106	Vulpes vulpes	Arctic	A	KX148106	KX148106/Arctic/A/Vulpes vulpes}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148107	Felis catus	Africa-2	-	KX148107	KX148107/Africa-2/-/Felis catus}
alignment/AL_MASTER/member/ncbi-refseqs/KX148107	Felis catus	Africa-2	-	KX148107	KX148107/Africa-2/-/Felis catus}
alignment/AL_Indian-Sub/member/ncbi-refseqs/KX148108	Bos taurus	Indian-Sub	-	KX148108	KX148108/Indian-Sub/-/Bos taurus}
alignment/AL_Bats_DR/member/ncbi-refseqs/KX148109	Canis familiaris	Bats	DR	KX148109	KX148109/Bats/DR/Canis familiaris}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/KX148110	Canis familiaris	Cosmopolitan	AM2a	KX148110	KX148110/Cosmopolitan/AM2a/Canis familiaris}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148111	Canis familiaris	Cosmopolitan	AM2a	KX148111	KX148111/Cosmopolitan/AM2a/Canis familiaris}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/KX148111	Canis familiaris	Cosmopolitan	AM2a	KX148111	KX148111/Cosmopolitan/AM2a/Canis familiaris}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/KX148112	Homo sapiens	Cosmopolitan	AM2a	KX148112	KX148112/Cosmopolitan/AM2a/Homo sapiens}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148113	Vulpes vulpes	Cosmopolitan	CE	KX148113	KX148113/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148114	Vulpes vulpes	Cosmopolitan	CE	KX148114	KX148114/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148115	Vulpes vulpes	Cosmopolitan	CE	KX148115	KX148115/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148116	Vulpes vulpes	Cosmopolitan	CE	KX148116	KX148116/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148117	Vulpes vulpes	Cosmopolitan	CE	KX148117	KX148117/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148118	Nyctereutes procyonoides	Cosmopolitan	CE	KX148118	KX148118/Cosmopolitan/CE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148119	Vulpes vulpes	Cosmopolitan	CE	KX148119	KX148119/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148120	Nyctereutes procyonoides	Cosmopolitan	CE	KX148120	KX148120/Cosmopolitan/CE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148121	Vulpes vulpes	Cosmopolitan	CE	KX148121	KX148121/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148122	Vulpes vulpes	Cosmopolitan	CE	KX148122	KX148122/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148122	Vulpes vulpes	Cosmopolitan	CE	KX148122	KX148122/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148123	Vulpes vulpes	Cosmopolitan	CE	KX148123	KX148123/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/KX148124	Vulpes vulpes	Cosmopolitan	CE	KX148124	KX148124/Cosmopolitan/CE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148125	Vulpes vulpes	Cosmopolitan	WE	KX148125	KX148125/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148126	Vulpes vulpes	Cosmopolitan	WE	KX148126	KX148126/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148127	Vulpes vulpes	Cosmopolitan	WE	KX148127	KX148127/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148128	Vulpes vulpes	Cosmopolitan	WE	KX148128	KX148128/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148129	Vulpes vulpes	Cosmopolitan	WE	KX148129	KX148129/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148130	Vulpes vulpes	Cosmopolitan	WE	KX148130	KX148130/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148131	Vulpes vulpes	Cosmopolitan	WE	KX148131	KX148131/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148132	Vulpes vulpes	Cosmopolitan	WE	KX148132	KX148132/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148133	Vulpes vulpes	Cosmopolitan	WE	KX148133	KX148133/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148134	Vulpes vulpes	Cosmopolitan	WE	KX148134	KX148134/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148135	Vulpes vulpes	Cosmopolitan	WE	KX148135	KX148135/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/KX148135	Vulpes vulpes	Cosmopolitan	WE	KX148135	KX148135/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148136	Vulpes vulpes	Cosmopolitan	EE	KX148136	KX148136/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148137	Vulpes vulpes	Cosmopolitan	EE	KX148137	KX148137/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148138	Vulpes vulpes	Cosmopolitan	EE	KX148138	KX148138/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148139	Vulpes vulpes	Cosmopolitan	EE	KX148139	KX148139/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148140	Vulpes vulpes	Cosmopolitan	EE	KX148140	KX148140/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148140	Vulpes vulpes	Cosmopolitan	EE	KX148140	KX148140/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148141	Vulpes vulpes	Cosmopolitan	EE	KX148141	KX148141/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148142	Vulpes vulpes	Cosmopolitan	EE	KX148142	KX148142/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148143	Vulpes vulpes	Cosmopolitan	EE	KX148143	KX148143/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148144	Vulpes vulpes	Cosmopolitan	EE	KX148144	KX148144/Cosmopolitan/EE/Vulpes vulpes}
alignment/AL_Cosmopolitan_EE/member/ncbi-refseqs/KX148145	Canis lupus	Cosmopolitan	EE	KX148145	KX148145/Cosmopolitan/EE/Canis lupus}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148146	Vulpes vulpes	Cosmopolitan	NEE	KX148146	KX148146/Cosmopolitan/NEE/Vulpes vulpes}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148147	Nyctereutes procyonoides	Cosmopolitan	NEE	KX148147	KX148147/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148148	Vulpes vulpes	Cosmopolitan	NEE	KX148148	KX148148/Cosmopolitan/NEE/Vulpes vulpes}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148149	Nyctereutes procyonoides	Cosmopolitan	NEE	KX148149	KX148149/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148150	Nyctereutes procyonoides	Cosmopolitan	NEE	KX148150	KX148150/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148150	Nyctereutes procyonoides	Cosmopolitan	NEE	KX148150	KX148150/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148151	Vulpes vulpes	Cosmopolitan	NEE	KX148151	KX148151/Cosmopolitan/NEE/Vulpes vulpes}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148152	Nyctereutes procyonoides	Cosmopolitan	NEE	KX148152	KX148152/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148153	Nyctereutes procyonoides	Cosmopolitan	NEE	KX148153	KX148153/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148154	Nyctereutes procyonoides	Cosmopolitan	NEE	KX148154	KX148154/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148155	Vulpes vulpes	Cosmopolitan	NEE	KX148155	KX148155/Cosmopolitan/NEE/Vulpes vulpes}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148156	Nyctereutes procyonoides	Cosmopolitan	NEE	KX148156	KX148156/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148157	Nyctereutes procyonoides	Cosmopolitan	NEE	KX148157	KX148157/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/KX148158	Vulpes vulpes	Cosmopolitan	NEE	KX148158	KX148158/Cosmopolitan/NEE/Vulpes vulpes}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148159	Ovis aries	Cosmopolitan	CA1	KX148159	KX148159/Cosmopolitan/CA1/Ovis aries}
alignment/AL_Cosmopolitan_CA1/member/ncbi-refseqs/KX148159	Ovis aries	Cosmopolitan	CA1	KX148159	KX148159/Cosmopolitan/CA1/Ovis aries}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148160	Homo sapiens	Cosmopolitan	CA3	KX148160	KX148160/Cosmopolitan/CA3/Homo sapiens}
alignment/AL_Cosmopolitan_CA3/member/ncbi-refseqs/KX148160	Homo sapiens	Cosmopolitan	CA3	KX148160	KX148160/Cosmopolitan/CA3/Homo sapiens}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148161	Vulpes vulpes	Cosmopolitan	Cosmopolitan	KX148161	KX148161/Cosmopolitan/Cosmopolitan/Vulpes vulpes}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148162	Canis familiaris	Cosmopolitan	ME2	KX148162	KX148162/Cosmopolitan/ME2/Canis familiaris}
alignment/AL_Cosmopolitan_ME2/member/ncbi-refseqs/KX148162	Canis familiaris	Cosmopolitan	ME2	KX148162	KX148162/Cosmopolitan/ME2/Canis familiaris}
alignment/AL_Cosmopolitan_ME2/member/ncbi-refseqs/KX148163	Canis familiaris	Cosmopolitan	ME2	KX148163	KX148163/Cosmopolitan/ME2/Canis familiaris}
alignment/AL_Cosmopolitan_ME2/member/ncbi-refseqs/KX148164	Canis familiaris	Cosmopolitan	ME2	KX148164	KX148164/Cosmopolitan/ME2/Canis familiaris}
alignment/AL_Cosmopolitan_ME2/member/ncbi-refseqs/KX148165	Canis familiaris	Cosmopolitan	ME2	KX148165	KX148165/Cosmopolitan/ME2/Canis familiaris}
alignment/AL_Cosmopolitan_ME2/member/ncbi-refseqs/KX148166	Canis familiaris	Cosmopolitan	ME2	KX148166	KX148166/Cosmopolitan/ME2/Canis familiaris}
alignment/AL_Cosmopolitan_ME2/member/ncbi-refseqs/KX148167	Canis familiaris	Cosmopolitan	ME2	KX148167	KX148167/Cosmopolitan/ME2/Canis familiaris}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148168	Und.	Cosmopolitan	ME1a	KX148168	KX148168/Cosmopolitan/ME1a/Und.}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148169	Camelus dromedarius	Cosmopolitan	ME1a	KX148169	KX148169/Cosmopolitan/ME1a/Camelus dromedarius}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148170	Und.	Cosmopolitan	ME1a	KX148170	KX148170/Cosmopolitan/ME1a/Und.}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148171	Und.	Cosmopolitan	ME1a	KX148171	KX148171/Cosmopolitan/ME1a/Und.}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148172	Equus ferus	Cosmopolitan	ME1a	KX148172	KX148172/Cosmopolitan/ME1a/Equus ferus}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148173	Vulpes vulpes	Cosmopolitan	ME1a	KX148173	KX148173/Cosmopolitan/ME1a/Vulpes vulpes}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148174	Und.	Cosmopolitan	ME1a	KX148174	KX148174/Cosmopolitan/ME1a/Und.}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148175	Vulpes vulpes	Cosmopolitan	ME1a	KX148175	KX148175/Cosmopolitan/ME1a/Vulpes vulpes}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148176	Und.	Cosmopolitan	ME1a	KX148176	KX148176/Cosmopolitan/ME1a/Und.}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148177	Und.	Cosmopolitan	ME1a	KX148177	KX148177/Cosmopolitan/ME1a/Und.}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148178	Canis familiaris	Cosmopolitan	ME1a	KX148178	KX148178/Cosmopolitan/ME1a/Canis familiaris}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148179	Canis aureus	Cosmopolitan	ME1a	KX148179	KX148179/Cosmopolitan/ME1a/Canis aureus}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148180	Und.	Cosmopolitan	ME1a	KX148180	KX148180/Cosmopolitan/ME1a/Und.}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148181	Canis familiaris	Cosmopolitan	ME1a	KX148181	KX148181/Cosmopolitan/ME1a/Canis familiaris}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148182	Canis familiaris	Cosmopolitan	ME1a	KX148182	KX148182/Cosmopolitan/ME1a/Canis familiaris}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148183	Und.	Cosmopolitan	ME1a	KX148183	KX148183/Cosmopolitan/ME1a/Und.}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148184	Bos taurus	Cosmopolitan	ME1a	KX148184	KX148184/Cosmopolitan/ME1a/Bos taurus}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148185	Canis pallipes	Cosmopolitan	ME1a	KX148185	KX148185/Cosmopolitan/ME1a/Canis pallipes}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148186	Canis pallipes	Cosmopolitan	ME1a	KX148186	KX148186/Cosmopolitan/ME1a/Canis pallipes}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148187	Canis aureus	Cosmopolitan	ME1a	KX148187	KX148187/Cosmopolitan/ME1a/Canis aureus}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148188	Canis pallipes	Cosmopolitan	ME1a	KX148188	KX148188/Cosmopolitan/ME1a/Canis pallipes}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148189	Canis familiaris	Cosmopolitan	ME1a	KX148189	KX148189/Cosmopolitan/ME1a/Canis familiaris}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148190	Canis aureus	Cosmopolitan	ME1a	KX148190	KX148190/Cosmopolitan/ME1a/Canis aureus}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/KX148190	Canis aureus	Cosmopolitan	ME1a	KX148190	KX148190/Cosmopolitan/ME1a/Canis aureus}
alignment/AL_Cosmopolitan_ME1b/member/ncbi-refseqs/KX148191	Canis aureus	Cosmopolitan	ME1b	KX148191	KX148191/Cosmopolitan/ME1b/Canis aureus}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148192	Canis familiaris	Cosmopolitan	ME1b	KX148192	KX148192/Cosmopolitan/ME1b/Canis familiaris}
alignment/AL_Cosmopolitan_ME1b/member/ncbi-refseqs/KX148192	Canis familiaris	Cosmopolitan	ME1b	KX148192	KX148192/Cosmopolitan/ME1b/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148193	Canis familiaris	Cosmopolitan	AF1a	KX148193	KX148193/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148194	Canis familiaris	Cosmopolitan	AF1a	KX148194	KX148194/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148195	Canis familiaris	Cosmopolitan	AF1a	KX148195	KX148195/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148196	Canis familiaris	Cosmopolitan	AF1a	KX148196	KX148196/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148197	Canis familiaris	Cosmopolitan	AF1a	KX148197	KX148197/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148198	Canis familiaris	Cosmopolitan	AF1a	KX148198	KX148198/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148199	Canis mesomelas	Cosmopolitan	AF1a	KX148199	KX148199/Cosmopolitan/AF1a/Canis mesomelas}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148200	Canis familiaris	Cosmopolitan	AF1a	KX148200	KX148200/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148201	Canis familiaris	Cosmopolitan	AF1a	KX148201	KX148201/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/KX148202	Canis familiaris	Cosmopolitan	AF1a	KX148202	KX148202/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/KX148203	Canis familiaris	Cosmopolitan	AF1b	KX148203	KX148203/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/KX148204	Canis familiaris	Cosmopolitan	AF1b	KX148204	KX148204/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/KX148205	Canis familiaris	Cosmopolitan	AF1b	KX148205	KX148205/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/KX148206	Canis familiaris	Cosmopolitan	AF1b	KX148206	KX148206/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/KX148207	Homo sapiens	Cosmopolitan	AF1b	KX148207	KX148207/Cosmopolitan/AF1b/Homo sapiens}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/KX148208	Canis familiaris	Cosmopolitan	AF1b	KX148208	KX148208/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_Cosmopolitan_AF1c/member/ncbi-refseqs/KX148209	Canis familiaris	Cosmopolitan	AF1c	KX148209	KX148209/Cosmopolitan/AF1c/Canis familiaris}
alignment/AL_Cosmopolitan_AF1c/member/ncbi-refseqs/KX148210	Homo sapiens	Cosmopolitan	AF1c	KX148210	KX148210/Cosmopolitan/AF1c/Homo sapiens}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148211	Canis familiaris	Cosmopolitan	AF1c	KX148211	KX148211/Cosmopolitan/AF1c/Canis familiaris}
alignment/AL_Cosmopolitan_AF1c/member/ncbi-refseqs/KX148211	Canis familiaris	Cosmopolitan	AF1c	KX148211	KX148211/Cosmopolitan/AF1c/Canis familiaris}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148212	Canis aureus	Cosmopolitan	CA2	KX148212	KX148212/Cosmopolitan/CA2/Canis aureus}
alignment/AL_Cosmopolitan_CA2/member/ncbi-refseqs/KX148212	Canis aureus	Cosmopolitan	CA2	KX148212	KX148212/Cosmopolitan/CA2/Canis aureus}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148213	Und.	Cosmopolitan	AM1	KX148213	KX148213/Cosmopolitan/AM1/Und.}
