Accession	Strain	Country	Location	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset
KX148174	98001ARS	Saudi Arabia		Fox	Und.	1998	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148175	99004ARS	Saudi Arabia		Red fox	Vulpes vulpes	1998	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
AF369280	V660.FX	Israel		Red fox	Vulpes vulpes		Cosmopolitan	ME1a		[18]	P	Troupin
KX148191	93032ISR	Israel		Jackal	Canis aureus	1993	Cosmopolitan	ME1b	Original brain	This study	Complete genome	Kuzmin
KX148192	93033ISR	Israel		Dog 	Canis familiaris	1993	Cosmopolitan	ME1b	Original brain	This study	Complete genome	Kuzmin
KX148164	93100TUR	Turkey		Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148166	94001TUR	Turkey		Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148162	94002TUR	Turkey		Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148167	94005TUR	Turkey		Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148165	94009TUR	Turkey		Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148163	94016TUR	Turkey		Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
AF369329	V466.DG	Nigeria		Dog 	Canis familiaris	1996	Cosmopolitan	Vac2		[18]	P	Troupin
JQ944704	184VNO	Russia		Raccoon dog	Nyctereutes procyonoides	2009	Cosmopolitan	NEE	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
KX148148	93038EST	Estonia		Red fox	Vulpes vulpes	1992	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148149	93039EST	Estonia		Raccoon dog	Nyctereutes procyonoides	1991	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148155	93041EST	Estonia		Red fox	Vulpes vulpes	1993	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148156	93042EST	Estonia		Raccoon dog	Nyctereutes procyonoides	1991	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148157	93043EST	Estonia		Raccoon dog	Nyctereutes procyonoides	1993	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148146	93046FIN	Finland		Red fox	Vulpes vulpes	1993	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148147	93048FIN	Finland		Raccoon dog	Nyctereutes procyonoides	1988	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148158	93105EST	Estonia		Red fox	Vulpes vulpes	1993	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
U43432	9342EST	Estonia		Raccoon dog	Nyctereutes procyonoides	1991	Cosmopolitan	NEE		[6]	N	Troupin
KX148150	96026POL	Poland		Raccoon dog	Nyctereutes procyonoides	1986	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148151	96042POL	Poland		Red fox	Vulpes vulpes	1996	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148153	96097POL	Poland		Raccoon dog	Nyctereutes procyonoides	1996	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148152	96142POL	Poland		Raccoon dog	Nyctereutes procyonoides	1996	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148154	97078POL	Poland		Raccoon dog	Nyctereutes procyonoides	1997	Cosmopolitan	NEE	Cosmopolitan – NEE	This study	Complete genome	Kuzmin
AY352474	RV1596	Russia	Pskov	Red fox	Vulpes vulpes	1987	Cosmopolitan	NEE	Mouse	[5]	N	Troupin
KF154997	RV437	Estonia		Raccoon dog	Nyctereutes procyonoides		Cosmopolitan	NEE	Mouse		Complete genome	Kuzmin
JQ685984	A10-3020	TX		Gray Fox	Urocyon cinereoargenteus	2008	Cosmopolitan	Vac2	Original brain	Troupin	G	Troupin
JQ685995	Fox-8007	TX		Gray Fox	Urocyon cinereoargenteus	2008	Cosmopolitan	Vac2	Original brain	Troupin	G	Troupin
JQ685943	A10-0511	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Cosmopolitan	AM2b	Original brain	This study	Complete genome	Troupin
JQ685899	A10-0515	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Cosmopolitan	AM2b	Original brain	This study	Complete genome	Troupin
JQ685894	CA982	USA	CA	Striped skunk	Mephitis mephitis	1994	Cosmopolitan	AM4	Original brain	This study	Complete genome	Troupin
JQ685970	CASK2	USA	CA	Striped skunk	Mephitis mephitis	1974	Cosmopolitan	AM4	Original brain	Troupin	Complete genome	Troupin
JQ685975	MEXSK3636	Mexico		Spotted skunk	Spilogale putorius	2009	Cosmopolitan	Vac2	Mouse	Troupin	Complete genome	Troupin
NC_001542	PV_RefSeq	NA		Vaccine strain	Vaccine strain		Cosmopolitan	Vac	NA	This study	Complete genome	Kuzmin
M31046	SAD B19	NA		Vaccine strain	Vaccine strain		Cosmopolitan	Vac	NA	This study	Complete genome	Kuzmin
KX148133	86111YOU	Bosnia and Herzegovina		Red fox	Vulpes vulpes	1986	Cosmopolitan	WE	Mouse	This study	Complete genome	Kuzmin
U42706	86111YOU	Yugoslavia		Red fox	Vulpes vulpes	1986	Cosmopolitan	WE		[6]	N	Troupin
KX148127	91047FRA	France		Red fox	Vulpes vulpes	1991	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
EU293115	9147FRA	France		Red fox	Vulpes vulpes	1991	Cosmopolitan	WE		[3]	Complete genome	Troupin
KX148135	92001GER	Germany		Red fox	Vulpes vulpes	1991	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148128	92044FRA	France		Red fox	Vulpes vulpes	1992	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148134	94029FRA	France		Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148125	94033BEL	Belgium		Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148131	94086SLN	Slovenia		Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148129	94091SLN	Slovenia		Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148132	94094SLN	Slovenia		Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148130	94096SLN	Slovenia		Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148133	94096SLN	Slovenia		Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148126	96002FRA	France		Red fox	Vulpes vulpes	1996	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
AF369272	V034.RFX	Switzerland		Red fox	Vulpes vulpes	1987	Cosmopolitan	WE		[18]	P	Troupin
AF369273	V285.RFX	Check Republic		Red fox	Vulpes vulpes	1992	Cosmopolitan	WE		[18]	P	Troupin
KX148245	09029NEP	Nepal		Buffalo	Und.	2009	Indian-Sub		Original brain	This study	Complete genome	Kuzmin
KX148108	11001NEP	Nepal		Cow	Bos taurus	2011	Indian-Sub		Original brain	This study	Complete genome	Kuzmin
KX148246	97002IND	India		Human 	Homo sapiens	1997	Indian-Sub		Original brain	This study	Complete genome	Kuzmin
AB635373	H_1413_09	Sri Lanka		Golden palm civet	Paradoxurus zeylonensis	2009	Indian-Sub		Original brain		Complete genome	Kuzmin
AF369309	I15.DG	India		Dog 	Canis familiaris	1995	Indian-Sub			[18]	P	Troupin
AF325489	NEP1-DG	Nepal		Dog 	Canis familiaris	1989	Indian-Sub			[19]	G	Troupin
KF154999	RV2417	Sri Lanka		Dog 	Canis familiaris	2008	Indian-Sub		Original brain		Complete genome	Kuzmin
JQ685992	SL-cow	Sri Lanka		Cow	Bos taurus		Indian-Sub		Original brain	Troupin	G	Troupin
AF369320	V113.DG	Sri Lanka		Dog 	Canis familiaris	1986	Indian-Sub			[18]	P	Troupin
AF369321	V118.DG	Sri Lanka		Dog 	Canis familiaris	1986	Indian-Sub			[18]	P	Troupin
AB041966		Sri Lanka		Dog 	Canis familiaris	1996	Indian-Sub			[8]	N	Troupin
AY138549		Sri Lanka		Dog 	Canis familiaris	1986	Indian-Sub			[9]	N	Troupin
JQ685929	MEXSK3644	Mexico		Spotted skunk	Spilogale putorius	2009	RAC-SK		Mouse	This study	Complete genome	Troupin
JQ685994	A09-0103	AL		Coyote	Canis latrans	2009	RAC-SK		Original brain	Troupin	G	Troupin
AF369294	FL.RAC	USA	FL	Raccoon	Procyon lotor	1987	RAC-SK			[18]	P	Troupin
AF369293	NY.RAC	USA	NY	Raccoon	Procyon lotor	1992	RAC-SK			[18]	P	Troupin
JQ685954	MXSK13938	Mexico		Spotted skunk	Spilogale putorius	2007	RAC-SK		Mouse	This study	Complete genome	Troupin
JQ685901	RAC	USA	GA	Raccoon	Procyon lotor	2003	RAC-SK		Mouse	This study	Complete genome	Troupin
EU311738	RRV_ON_99	Canada	ON	Raccoon	Procyon lotor	1999	RAC-SK		Original brain	[4]	Complete genome	Troupin
JQ685968	A10-0512	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2009	RAC-SK		Original brain	Troupin	Complete genome	Troupin
JQ685938	A10-0514	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2009	RAC-SK		Original brain	This study	Complete genome	Troupin
JQ685986	A10-3013	TX		Striped skunk	Mephitis mephitis	2009	RAC-SK		Original brain	Troupin	G	Troupin
JQ685993	A08-0500	CO		Cat	Felis catus	2008	RAC-SK		Original brain	Troupin	G	Troupin
JQ685991	A09-0255	OK		Wolf	Canis lupus	2009	RAC-SK		Original brain	Troupin	G	Troupin
AF369287	V211.SK	USA	TX	Striped skunk	Mephitis mephitis	1994	RAC-SK			[18]	P	Troupin
AF369291	V216.SK	USA	TX	Striped skunk	Mephitis mephitis	1994	RAC-SK			[18]	P	Troupin
JQ686008	A11-5404	USA	AZ	Gray Fox	Urocyon cinereoargenteus	2011	Bats	MYu	Original brain	Troupin	G	Troupin
JQ685955	AZ4490	USA	AZ	Yuma myotis	Myotis yumanensis	2005	Bats	MYu	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
