Accession	Strain	SequenceID	GenBankName	Region	Year	Country	IslandGroup	Region	Province	Municipality	Species_latin_binomial	Accession	Major_clade	Minor_clade
LC018548	TRa-409	TRa-409_CAR_2013	RV/CAR.PHL/2013/TRa-409	CAR	2013	Philippines	Luzon	CAR	Benguet	La Trinidad	Canis familiaris	LC018548	AL_Asian	AL_Asian_SEA4
LC018549	TRa-421	TRa-421_V_2013	RV/R5.PHL/2013/TRa-421	V	2013	Philippines	Luzon	V	Albay	Camalig	Canis familiaris	LC018549	AL_Asian	AL_Asian_SEA4
LC018550	TRa-422	TRa-422_V_2013	RV/R5.PHL/2013/TRa-422	V	2013	Philippines	Luzon	V	Albay	Tabaco	Canis familiaris	LC018550	AL_Asian	AL_Asian_SEA4
LC018551	TRa-425	TRa-425_V_2013	RV/R5.PHL/2013/TRa-425	V	2013	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris	LC018551	AL_Asian	AL_Asian_SEA4
LC018552	TRa-426	TRa-426_V_2013	RV/R5.PHL/2013/TRa-426	V	2013	Philippines	Luzon	V	Camarines Sur	Bato	Canis familiaris	LC018552	AL_Asian	AL_Asian_SEA4
LC018553	TRa-427	TRa-427_V_2013	RV/R5.PHL/2013/TRa-427	V	2013	Philippines	Luzon	V	Albay	Jovellar	Canis familiaris	LC018553	AL_Asian	AL_Asian_SEA4
LC018554	TRa-429	TRa-429_V_2013	RV/R5.PHL/2013/TRa-429	V	2013	Philippines	Luzon	V	Albay	Daraga	Canis familiaris	LC018554	AL_Asian	AL_Asian_SEA4
LC018555	TRa-435	TRa-435_II_2013	RV/R2.PHL/2013/TRa-435	II	2013	Philippines	Luzon	II	Cagayan	Piat	Canis familiaris	LC018555	AL_Asian	AL_Asian_SEA4
LC018556	TRa-437	TRa-437_II_2013	RV/R2.PHL/2013/TRa-437	II	2013	Philippines	Luzon	II	Nueva Vizcaya	Bayombong	Canis familiaris	LC018556	AL_Asian	AL_Asian_SEA4
LC018557	TRa-439	TRa-439_II_2013	RV/R2.PHL/2013/TRa-439	II	2013	Philippines	Luzon	II	Cagayan	Lasam	Canis familiaris	LC018557	AL_Asian	AL_Asian_SEA4
LC018558	TRa-441	TRa-441_III_2013	RV/R3.PHL/2013/TRa-441	III	2013	Philippines	Luzon	III	Pampanga	Macabebe	Canis familiaris	LC018558	AL_Asian	AL_Asian_SEA4
LC018559	TRa-442	TRa-442_III_2013	RV/R3.PHL/2013/TRa-442	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris	LC018559	AL_Asian	AL_Asian_SEA4
LC018560	TRa-443	TRa-443_III_2013	RV/R3.PHL/2013/TRa-443	III	2013	Philippines	Luzon	III	Bulacan	Paombong	Canis familiaris	LC018560	AL_Asian	AL_Asian_SEA4
LC018561	TRa-444	TRa-444_III_2013	RV/R3.PHL/2013/TRa-444	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris	LC018561	AL_Asian	AL_Asian_SEA4
LC018562	TRa-445	TRa-445_III_2013	RV/R3.PHL/2013/TRa-445	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Felis catus	LC018562	AL_Asian	AL_Asian_SEA4
LC018563	TRa-446	TRa-446_III_2013	RV/R3.PHL/2013/TRa-446	III	2013	Philippines	Luzon	III	Tarlac	Concepcion	Canis familiaris	LC018563	AL_Asian	AL_Asian_SEA4
LC018564	TRa-447	TRa-447_III_2013	RV/R3.PHL/2013/TRa-447	III	2013	Philippines	Luzon	III	Bulacan	Santa Maria	Canis familiaris	LC018564	AL_Asian	AL_Asian_SEA4
LC018565	TRa-448	TRa-448_III_2013	RV/R3.PHL/2013/TRa-448	III	2013	Philippines	Luzon	III	Nueva Ecija	San Antonio	Canis familiaris	LC018565	AL_Asian	AL_Asian_SEA4
LC018566	TRa-449	TRa-449_III_2013	RV/R3.PHL/2013/TRa-449	III	2013	Philippines	Luzon	III	Bulacan	Guiguinto	Canis familiaris	LC018566	AL_Asian	AL_Asian_SEA4
LC018567	TRa-450	TRa-450_III_2013	RV/R3.PHL/2013/TRa-450	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris	LC018567	AL_Asian	AL_Asian_SEA4
LC018568	TRa-451	TRa-451_III_2013	RV/R3.PHL/2013/TRa-451	III	2013	Philippines	Luzon	III	Bulacan	Santa Maria	Canis familiaris	LC018568	AL_Asian	AL_Asian_SEA4
LC018569	TRa-452	TRa-452_III_2013	RV/R3.PHL/2013/TRa-452	III	2013	Philippines	Luzon	III	Bulacan	Malolos	Canis familiaris	LC018569	AL_Asian	AL_Asian_SEA4
LC018570	TRa-453	TRa-453_III_2013	RV/R3.PHL/2013/TRa-453	III	2013	Philippines	Luzon	III	Pampanga	Arayat	Canis familiaris	LC018570	AL_Asian	AL_Asian_SEA4
LC018571	TRa-454	TRa-454_III_2013	RV/R3.PHL/2013/TRa-454	III	2013	Philippines	Luzon	III	Bulacan	Bulacan	Canis familiaris	LC018571	AL_Asian	AL_Asian_SEA4
LC018572	TRa-455	TRa-455_III_2013	RV/R3.PHL/2013/TRa-455	III	2013	Philippines	Luzon	III	Bulacan	Hagonoy	Canis familiaris	LC018572	AL_Asian	AL_Asian_SEA4
LC018573	TRa-456	TRa-456_III_2013	RV/R3.PHL/2013/TRa-456	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris	LC018573	AL_Asian	AL_Asian_SEA4
LC018574	TRa-457	TRa-457_III_2013	RV/R3.PHL/2013/TRa-457	III	2013	Philippines	Luzon	III	Pampanga	Macabebe	Canis familiaris	LC018574	AL_Asian	AL_Asian_SEA4
LC018575	TRa-458	TRa-458_III_2013	RV/R3.PHL/2013/TRa-458	III	2013	Philippines	Luzon	III	Pampanga	San Fernando	Canis familiaris	LC018575	AL_Asian	AL_Asian_SEA4
LC018576	TRa-459	TRa-459_III_2013	RV/R3.PHL/2013/TRa-459	III	2013	Philippines	Luzon	III	Pampanga	Candaba	unknown	LC018576	AL_Asian	AL_Asian_SEA4
LC018577	TRa-460	TRa-460_III_2013	RV/R3.PHL/2013/TRa-460	III	2013	Philippines	Luzon	III	Nueva Ecija	San Antonio	unknown	LC018577	AL_Asian	AL_Asian_SEA4
LC018578	TRa-461	TRa-461_III_2013	RV/R3.PHL/2013/TRa-461	III	2013	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris	LC018578	AL_Asian	AL_Asian_SEA4
LC018579	TRa-462	TRa-462_III_2013	RV/R3.PHL/2013/TRa-462	III	2013	Philippines	Luzon	III	Nueva Ecija	San Jose City	Canis familiaris	LC018579	AL_Asian	AL_Asian_SEA4
LC018580	TRa-463	TRa-463_III_2013	RV/R3.PHL/2013/TRa-463	III	2013	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris	LC018580	AL_Asian	AL_Asian_SEA4
LC018581	TRa-464	TRa-464_III_2013	RV/R3.PHL/2013/TRa-464	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris	LC018581	AL_Asian	AL_Asian_SEA4
LC018582	TRa-465	TRa-465_III_2013	RV/R3.PHL/2013/TRa-465	III	2013	Philippines	Luzon	III	Nueva Ecija	Zaragosa	Canis familiaris	LC018582	AL_Asian	AL_Asian_SEA4
LC018583	TRa-466	TRa-466_III_2013	RV/R3.PHL/2013/TRa-466	III	2013	Philippines	Luzon	III	Nueva Ecija	Talavera	Canis familiaris	LC018583	AL_Asian	AL_Asian_SEA4
LC018584	TRa-486	TRa-486_IV-B_2013	RV/R4B.PHL/2013/TRa-486	IV-B	2013	Philippines	Luzon	IV-B	Palawan	Puerto Princesa City	Canis familiaris	LC018584	AL_Asian	AL_Asian_SEA4
LC018585	TRa-487	TRa-487_IV-B_2013	RV/R4B.PHL/2013/TRa-487	IV-B	2013	Philippines	Luzon	IV-B	Palawan	Puerto Princesa City	Canis familiaris	LC018585	AL_Asian	AL_Asian_SEA4
LC018586	TRa-500	TRa-500_CAR_2013	RV/CAR.PHL/2013/TRa-500	CAR	2013	Philippines	Luzon	CAR	Mountain Province	Paracelis	Canis familiaris	LC018586	AL_Asian	AL_Asian_SEA4
LC018587	TRa-503	TRa-503_II_2013	RV/R2.PHL/2013/TRa-503	II	2013	Philippines	Luzon	II	Nueva Vizcaya	Kasilbu	Canis familiaris	LC018587	AL_Asian	AL_Asian_SEA4
LC018588	TRa-504	TRa-504_II_2013	RV/R2.PHL/2013/TRa-504	II	2013	Philippines	Luzon	II	Nueva Vizcaya	Bagabag	Canis familiaris	LC018588	AL_Asian	AL_Asian_SEA4
LC018589	TRa-505	TRa-505_II_2013	RV/R2.PHL/2013/TRa-505	II	2013	Philippines	Luzon	II	Isabela	San Mateo	Canis familiaris	LC018589	AL_Asian	AL_Asian_SEA4
LC018590	TRa-506	TRa-506_II_2013	RV/R2.PHL/2013/TRa-506	II	2013	Philippines	Luzon	II	Cagayan	Peñablanca	Canis familiaris	LC018590	AL_Asian	AL_Asian_SEA4
LC018591	TRa-507	TRa-507_CAR_2013	RV/CAR.PHL/2013/TRa-507	CAR	2013	Philippines	Luzon	CAR	Kalinga Apayao	Tabuk	Canis familiaris	LC018591	AL_Asian	AL_Asian_SEA4
AB683587	Z-04-470	Z-04-470_IV-A_2004	RV/R4A.PHL/2004/Z-04-470	IV-A	2004	Philippines	Luzon	IV-A	Laguna	Sta. Rosa	Canis familiaris	AB683587	AL_Asian	AL_Asian_SEA4
AB683584	Z-04-522	Z-04-522_NCR_2004	RV/NCR.PHL/2004/Z-04-522	NCR	2004	Philippines	Luzon	NCR	Metro Manila	Parañaque City	Canis familiaris	AB683584	AL_Asian	AL_Asian_SEA4
AB733963	Z-04-646	Z-04-646_NCR_2004	RV/NCR.PHL/2004/Z-04-646	NCR	2004	Philippines	Luzon	NCR	Metro Manila	Parañaque City	Canis familiaris	AB733963	AL_Asian	AL_Asian_SEA4
