Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset
JQ685929	MEXSK3644	Mexico			Mexico	Spotted skunk	Spilogale putorius	2009	RAC-SK		Mouse	This study	Complete genome	Troupin
JQ685954	MXSK13938	Mexico			Mexico	Spotted skunk	Spilogale putorius	2007	RAC-SK		Mouse	This study	Complete genome	Troupin
JX088694	GD_SH_01	China			China	Pig	Sus domesticus	2011	Asian	SEA2a	Original brain	-10	Complete genome	Kuzmin
EU293116	9704ARG	Argentina			Argentina	Mexican free-tailed bat	Tadarida brasilensis	1997	Bats	TB2		[3]	Complete genome	Troupin
KX148269	97004ARG	Argentina			Argentina	Mexican free-tailed bat	Tadarida brasiliensis	1997	Bats	TB2	Mouse	This study	Complete genome	Kuzmin
AF351849	TB1	USA	TX		USA	Mexican free-tailed bat	Tadarida brasiliensis		Bats	TB1		[15]	N	Troupin
AF369359	V235.FTB	USA	TX		USA	Mexican free-tailed bat	Tadarida brasiliensis	1994	Bats	TB1		[18]	P	Troupin
JQ685905	FL385	USA	FL		USA	Mexican free-tailed bat	Tadarida brasiliensis	2003	Bats	TB1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
AF351850	IB-Ch	Chile			Chile	Tadarida sp.	Tadarida sp.	1988	Bats	TB2		[15]	N	Troupin
JX473840	239K09	Namibia			Namibia	Namibian kudu	Tragelaphus strepsiceros	2009	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin
JX473841	240K09	Namibia			Namibia	Namibian kudu	Tragelaphus strepsiceros	2009	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin
JQ685989	A10-001	USA	AZ		USA	Gray Fox	Urocyon cinereoargenteus	2010	Cosmopolitan	AM2a	Original brain	Troupin	G	Troupin
JQ685984	A10-3020	USA	TX		USA	Gray Fox	Urocyon cinereoargenteus	2008	Cosmopolitan	Vac2	Original brain	Troupin	G	Troupin
JQ685995	Fox-8007	USA	TX		USA	Gray Fox	Urocyon cinereoargenteus	2008	Cosmopolitan	Vac2	Original brain	Troupin	G	Troupin
JQ685934	2401	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685933	SM5950	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2004	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685908	1060	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685972	2395	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	Troupin	N, P, M, G, L	Troupin
JQ685892	2398	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685939	2399	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685912	2400	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685896	2402	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685928	2403	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685976	2526	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	Troupin	N, P, M, G, L	Troupin
JQ685948	OR05455	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2010	Bats	EF-W2	Original brain	This study	Complete genome	Troupin
JQ685977	OR58	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2010	Bats	EF-W2	Original brain	Troupin	N, P, M, G, L	Troupin
JQ685914	OR703	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2010	Bats	EF-W2	Original brain	This study	N, P, M, G, L	Troupin
JQ685924	OR704	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2010	Bats	EF-W2	Original brain	This study	N, P, M, G, L	Troupin
JQ685918	OR05506	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2010	Bats	MYsp	Original brain	This study	Complete genome	Troupin
JQ685957	OR8767	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2009	Bats	MYsp	Original brain	Troupin	Complete genome	Troupin
JQ685979	OR43	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2000	Bats	MYsp	Original brain	This study	N	Troupin
JQ686013	OR43	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2000	Bats	MYsp	Original brain	Troupin	G	Troupin
JQ685978	OR59	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2006	Bats	MYsp	Original brain	TroupinTroupin	N	Troupin
JQ686012	OR59	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2006	Bats	MYsp	Original brain	Troupin	G	Troupin
JQ686011	OR-062011	USA	OR		USA	Gray Fox	Urocyon cinereoargenteus	2011	Bats	MYsp	Original brain	Troupin	G	Troupin
JQ685985	A10-3932	USA	AZ		USA	Gray Fox	Urocyon cinereoargenteus	2010	Cosmopolitan	AM2a	Original brain	Troupin	G	Troupin
JQ685943	A10-0511	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Cosmopolitan	AM2b	Original brain	This study	Complete genome	Troupin
JQ685899	A10-0515	USA	AZ	Flagstaff	USA	Gray Fox	Urocyon cinereoargenteus	2009	Cosmopolitan	AM2b	Original brain	This study	Complete genome	Troupin
JQ686008	A11-5404	USA	AZ		USA	Gray Fox	Urocyon cinereoargenteus	2011	Bats	MYu	Original brain	Troupin	G	Troupin
NC_001542	PV_RefSeq					Vaccine strain	Vaccine strain		Cosmopolitan	Vac	NA	This study	Complete genome	Kuzmin
M31046	SAD B19					Vaccine strain	Vaccine strain		Cosmopolitan	Vac	NA	This study	Complete genome	Kuzmin
AY352459	304c	Russia		Tyva	Russia	Corsac fox	Vulpes corsac	1977	Arctic	AL2	Mouse	[5]; this study	N	Troupin
JQ685983	304c	Russia		Tyva	Russia	Corsac fox	Vulpes corsac	1977	Arctic	AL2	Mouse	[5]; this study	G	Troupin
AY352487	483a	Russia		Yakutia	Russia	Arctic fox	Vulpes lagopus	1986	Arctic	A	Mouse	[5]; this study	N	Troupin
JQ685982	483a	Russia		Yakutia	Russia	Arctic fox	Vulpes lagopus	1986	Arctic	A	Mouse	[5]; this study	G	Troupin
KX148125	94033BEL	Belgium			Belgium	Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148133	86111YOU	Bosnia and Herzegovina			Bosnia and Herzegovina	Red fox	Vulpes vulpes	1986	Cosmopolitan	WE	Mouse	This study	Complete genome	Kuzmin
AF369266	ONT2.RFX	Canada			Canada	Red fox	Vulpes vulpes	1990	Arctic	A		[18]	P	Troupin
AF369353	9499.MYO	Canada			Canada	Red fox	Vulpes vulpes	1993	Bats	MYsp		[18]	P	Troupin
KM016899	WQ14_RF	China			China	Red fox	Vulpes vulpes	2014	Cosmopolitan	CA1	Original brain	Liu et al. unpublished	Complete genome	Kuzmin
AF369273	V285.RFX	Czech Republic			Czech Republic	Red fox	Vulpes vulpes	1992	Cosmopolitan	WE		[18]	P	Troupin
KX148148	93038EST	Estonia			Estonia	Red fox	Vulpes vulpes	1992	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148155	93041EST	Estonia			Estonia	Red fox	Vulpes vulpes	1993	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148158	93105EST	Estonia			Estonia	Red fox	Vulpes vulpes	1993	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148146	93046FIN	Finland			Finland	Red fox	Vulpes vulpes	1993	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148127	91047FRA	France			France	Red fox	Vulpes vulpes	1991	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
EU293115	9147FRA	France			France	Red fox	Vulpes vulpes	1991	Cosmopolitan	WE		[3]	Complete genome	Troupin
KX148128	92044FRA	France			France	Red fox	Vulpes vulpes	1992	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148134	94029FRA	France			France	Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148126	96002FRA	France			France	Red fox	Vulpes vulpes	1996	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148113	92002GER	Germany			Germany	Red fox	Vulpes vulpes	1991	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148124	92010GER	Germany			Germany	Red fox	Vulpes vulpes	1991	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148122	92012GER	Germany			Germany	Red fox	Vulpes vulpes	1991	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148123	92017GER	Germany			Germany	Red fox	Vulpes vulpes	1991	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148135	92001GER	Germany			Germany	Red fox	Vulpes vulpes	1991	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148143	93080HON	Hungary			Hungary	Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148136	93083HON	Hungary			Hungary	Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148137	93089HON	Hungary			Hungary	Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148138	93091HON	Hungary			Hungary	Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148139	93093HON	Hungary			Hungary	Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
AF369280	V660.FX	Israel			Israel	Red fox	Vulpes vulpes		Cosmopolitan	ME1a		[18]	P	Troupin
AF369274	RU7.FX	Kazakhstan			Kazakhstan	Red fox	Vulpes vulpes	1988	Cosmopolitan	CA1		[18]	P	Troupin
U22480	9135OMA	Oman			Oman	Red fox	Vulpes vulpes	1990	Cosmopolitan	ME1a		[7]	N	Troupin
KX148119	96045POL	Poland			Poland	Red fox	Vulpes vulpes	1993	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148121	96056POL	Poland			Poland	Red fox	Vulpes vulpes	1993	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148114	96104POL	Poland			Poland	Red fox	Vulpes vulpes	1995	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148115	96250POL	Poland			Poland	Red fox	Vulpes vulpes	1996	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148116	96256POL	Poland			Poland	Red fox	Vulpes vulpes	1996	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148117	97046POL	Poland			Poland	Red fox	Vulpes vulpes	1997	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148141	96135POL	Poland			Poland	Red fox	Vulpes vulpes	1992	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148142	96177POL	Poland			Poland	Red fox	Vulpes vulpes	1994	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148151	96042POL	Poland			Poland	Red fox	Vulpes vulpes	1996	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KC595280	8052f	Russia			Russia	Red fox	Vulpes vulpes	2011	Cosmopolitan	CA1	Mouse		Complete genome	Kuzmin
KC595282	8054f	Russia			Russia	Red fox	Vulpes vulpes	2011	Cosmopolitan	CA1	Mouse		Complete genome	Kuzmin
KC595283	8057f	Russia			Russia	Red fox	Vulpes vulpes	2011	Cosmopolitan	CA1	Mouse		Complete genome	Kuzmin
JQ944708	1564NNO	Russia			Russia	Red fox	Vulpes vulpes	2008	Cosmopolitan	CA3	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
AY352474	RV1596	Russia		Pskov	Russia	Red fox	Vulpes vulpes	1987	Cosmopolitan	NEE	Mouse	[5]	N	Troupin
U22481	8706ARS	Saudi Arabia			Saudi Arabia	Red fox	Vulpes vulpes	1987	Cosmopolitan	ME1a		[7]	N	Troupin
KX148173	97139ARS	Saudi Arabia			Saudi Arabia	Red fox	Vulpes vulpes	1997	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148175	99004ARS	Saudi Arabia			Saudi Arabia	Red fox	Vulpes vulpes	1998	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148161	86133SER	Serbia			Serbia	Red fox	Vulpes vulpes	1972	Cosmopolitan	YUGFOX	Mouse	This study	Complete genome	Kuzmin
KX148140	86109YOU	Serbia			Serbia	Red fox	Vulpes vulpes	1986	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148144	94099SLN	Slovenia			Slovenia	Red fox	Vulpes vulpes	1994	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148131	94086SLN	Slovenia			Slovenia	Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148129	94091SLN	Slovenia			Slovenia	Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148132	94094SLN	Slovenia			Slovenia	Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148130	94096SLN	Slovenia			Slovenia	Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
KX148133	94096SLN	Slovenia			Slovenia	Red fox	Vulpes vulpes	1994	Cosmopolitan	WE	Original brain	This study	Complete genome	Kuzmin
AF369272	V034.RFX	Switzerland			Switzerland	Red fox	Vulpes vulpes	1987	Cosmopolitan	WE		[18]	P	Troupin
JQ685987	A10-6931	USA	MN		USA	Red fox	Vulpes vulpes		Cosmopolitan	AM1	Original brain	Troupin	G	Troupin
JQ685988	A10-1431	USA	NH		USA	Red fox	Vulpes vulpes		Arctic	A	Original brain	Troupin	G	Troupin
JQ685990	Fox-9064	USA	NH		USA	Red fox	Vulpes vulpes		Arctic	A	Original brain	Troupin	G	Troupin
KX148106	91005USA	USA			USA	Red fox	Vulpes vulpes	1990	Arctic	A	Original brain	This study	Complete genome	Kuzmin
JQ686009	A11-5737	USA	VA		USA	Red fox	Vulpes vulpes	2011	Bats	PS	Original brain	Troupin	G	Troupin
U42703	86107YOU	Serbia			Serbia	Red fox	Vulpes vulpes	1976	Cosmopolitan	YUGFOX		[6]	N	Troupin
U42706	86111YOU	Serbia			Serbia	Red fox	Vulpes vulpes	1986	Cosmopolitan	WE		[6]	N	Troupin
KX148222	15003AFS	South Africa			South Africa	Ground squirrel 	Geosciurus inauris	2014	Africa-3		Original brain	This study	Complete genome	Kuzmin
