"Accession","Strain","Country","Location","Common_name","Species_latin_binomial","Year","Major_clade","Minor_clade","Source","Reference","Coverage","Dataset","clusters"
"KX148212","93019IRA","Iran","","Jackal","Canis aureus",1993,"Cosmopolitan","CA2","Original brain","This study","Complete genome","Kuzmin","Clust_12"
"KF155000","RV2516","Irak","","Cow","Bos taurus",2010,"Cosmopolitan","CA2","Original brain","","Complete genome","Kuzmin","Clust_12"
"JQ944708","1564NNO","Russia","","Red fox","Vulpes vulpes",2008,"Cosmopolitan","CA3","Original brain","Chupin et al. unpublished","Complete genome","Kuzmin","Clust_4"
"KX148160","92015HON","Hungary","","Human","Homo sapiens",1991,"Cosmopolitan","CA3","Original brain","This study","Complete genome","Kuzmin","Clust_4"
"AF325462","HUN1-HM","Hungary","","Human","Homo sapiens",1992,"Cosmopolitan","CA3","","[19]","G","Troupin","Clust_4"
"KX148113","92002GER","Germany","","Red fox","Vulpes vulpes",1991,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148124","92010GER","Germany","","Red fox","Vulpes vulpes",1991,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148122","92012GER","Germany","","Red fox","Vulpes vulpes",1991,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148123","92017GER","Germany","","Red fox","Vulpes vulpes",1991,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148119","96045POL","Poland","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148121","96056POL","Poland","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148118","96077POL","Poland","","Raccoon dog","Nyctereutes procyonoides",1994,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148114","96104POL","Poland","","Red fox","Vulpes vulpes",1995,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148120","96140POL","Poland","","Raccoon dog","Nyctereutes procyonoides",1993,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148115","96250POL","Poland","","Red fox","Vulpes vulpes",1996,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148116","96256POL","Poland","","Red fox","Vulpes vulpes",1996,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148117","97046POL","Poland","","Red fox","Vulpes vulpes",1997,"Cosmopolitan","CE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"AF325464","POL1-RD","Poland","","Raccoon dog","Nyctereutes procyonoides",1985,"Cosmopolitan","CE","","[19]","G","Troupin","Clust_9"
"KX148104","86058YOU","Montenegro","","Cow","Bos taurus",1978,"Cosmopolitan","Cosmopolitan","Mouse","This study","Complete genome","Kuzmin","Clust_6"
"KX148161","86133SER","Serbia","","Red fox","Vulpes vulpes",1972,"Cosmopolitan","Cosmopolitan","Mouse","This study","Complete genome","Kuzmin","Clust_2"
"AF325463","YUG1-WF","Yugoslavia","","Cow","Bos taurus",1984,"Cosmopolitan","Cosmopolitan","","[19]","G","Troupin","Clust_6"
"U42703","","Yugoslavia","","Red fox","Vulpes vulpes",1976,"Cosmopolitan","Cosmopolitan","","[6]","N","Troupin","Clust_1"
"KX148145","86054YOU","Bosnia and Herzegovina","","Wolf","Canis lupus",1986,"Cosmopolitan","EE","Mouse","This study","Complete genome","Kuzmin","Clust_8"
"KX148140","86109YOU","Serbia","","Red fox","Vulpes vulpes",1986,"Cosmopolitan","EE","Original brain","This study","Complete genome","Kuzmin","Clust_8"
"KX148143","93080HON","Hungary","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","EE","Original brain","This study","Complete genome","Kuzmin","Clust_8"
"KX148136","93083HON","Hungary","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","EE","Original brain","This study","Complete genome","Kuzmin","Clust_8"
"KX148137","93089HON","Hungary","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","EE","Original brain","This study","Complete genome","Kuzmin","Clust_8"
"KX148138","93091HON","Hungary","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","EE","Original brain","This study","Complete genome","Kuzmin","Clust_8"
"KX148139","93093HON","Hungary","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","EE","Original brain","This study","Complete genome","Kuzmin","Clust_8"
"KX148144","94099SLN","Slovenia","","Red fox","Vulpes vulpes",1994,"Cosmopolitan","EE","Original brain","This study","Complete genome","Kuzmin","Clust_8"
"KX148141","96135POL","Poland","","Red fox","Vulpes vulpes",1992,"Cosmopolitan","EE","Original brain","This study","Complete genome","Kuzmin","Clust_8"
"KX148142","96177POL","Poland","","Red fox","Vulpes vulpes",1994,"Cosmopolitan","EE","Original brain","This study","Complete genome","Kuzmin","Clust_8"
"KX148175","04034ARS","Saudi Arabia","","Fox","Und.",2004,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148176","04034ARS","Saudi Arabia","","Fox","Und.",2004,"Cosmopolitan","ME1a","","This study","Complete genome","Kuzmin","Clust_11"
"KX148189","86081IRA","Iran","","Dog","Canis familiaris",1985,"Cosmopolitan","ME1a","Mouse","This study","Complete genome","Kuzmin","Clust_11"
"KX148186","87002IRA","Iran","","Wolf","Canis pallipes",1984,"Cosmopolitan","ME1a","Mouse","This study","Complete genome","Kuzmin","Clust_11"
"KX148168","87006ARS","Saudi Arabia","","Fox","Und.",1987,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148172","87007ARS","Saudi Arabia","","Horse","Equus ferus",1987,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"U22483","8702IRA","Iran","","Wolf","Canis lupus",1987,"Cosmopolitan","ME1a","","[7]","N","Troupin","Clust_11"
"U22481","8706ARS","Saudi Arabia","","Red fox","Vulpes vulpes",1987,"Cosmopolitan","ME1a","","[7]","N","Troupin","Clust_11"
"KX148171","91024EAU","United Arab Emirates","","Fox","Und.",1991,"Cosmopolitan","ME1a","Mouse","This study","Complete genome","Kuzmin","Clust_11"
"KX148169","91034OMA","Oman","","Camel","Camelus dromedarius",1990,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148170","91035OMA","Oman","","Fox","Und.",1990,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"U22480","9135OMA","Oman","","Red fox","Vulpes vulpes",1990,"Cosmopolitan","ME1a","","[7]","N","Troupin","Clust_11"
"KX148190","93008IRA","Iran","","Jackal","Canis aureus",1976,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148188","93009IRA","Iran","","Wolf","Canis pallipes",1991,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148180","93030ISR","Israel","","Fox","Und.",1993,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148183","93031ISR","Israel","","Fox","Und.",1993,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148185","96299IRA","Iran","","Wolf","Canis pallipes",1996,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148178","96306ISR","Israel","","Dog","Canis familiaris",1996,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148182","96307ISR","Israel","","Dog","Canis familiaris",1996,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148181","96312ISR","Israel","","Dog","Canis familiaris",1996,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148179","96314ISR","Israel","","Jackal","Canis aureus",1996,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148177","96317ISR","Israel","","Fox","Und.",1996,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148187","96320IRA","Iran","","Jackal","Canis aureus",1996,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148184","96324ISR","Israel","","Cow","Bos taurus",1996,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148173","97139ARS","Saudi Arabia","","Red fox","Vulpes vulpes",1997,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148174","98001ARS","Saudi Arabia","","Fox","Und.",1998,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"KX148175","99004ARS","Saudi Arabia","","Red fox","Vulpes vulpes",1998,"Cosmopolitan","ME1a","Original brain","This study","Complete genome","Kuzmin","Clust_11"
"AF369280","V660.FX","Israel","","Red fox","Vulpes vulpes",NA,"Cosmopolitan","ME1a","","[18]","P","Troupin","Clust_11"
"KX148191","93032ISR","Israel","","Jackal","Canis aureus",1993,"Cosmopolitan","ME1b","Original brain","This study","Complete genome","Kuzmin","Clust_10"
"KX148192","93033ISR","Israel","","Dog","Canis familiaris",1993,"Cosmopolitan","ME1b","Original brain","This study","Complete genome","Kuzmin","Clust_10"
"KX148164","93100TUR","Turkey","","Dog","Canis familiaris",1993,"Cosmopolitan","ME2","Original brain","This study","Complete genome","Kuzmin","Clust_7"
"KX148166","94001TUR","Turkey","","Dog","Canis familiaris",1993,"Cosmopolitan","ME2","Original brain","This study","Complete genome","Kuzmin","Clust_7"
"KX148162","94002TUR","Turkey","","Dog","Canis familiaris",1993,"Cosmopolitan","ME2","Original brain","This study","Complete genome","Kuzmin","Clust_7"
"KX148167","94005TUR","Turkey","","Dog","Canis familiaris",1993,"Cosmopolitan","ME2","Original brain","This study","Complete genome","Kuzmin","Clust_7"
"KX148165","94009TUR","Turkey","","Dog","Canis familiaris",1993,"Cosmopolitan","ME2","Original brain","This study","Complete genome","Kuzmin","Clust_7"
"KX148163","94016TUR","Turkey","","Dog","Canis familiaris",1993,"Cosmopolitan","ME2","Original brain","This study","Complete genome","Kuzmin","Clust_7"
"AF369329","V466.DG","Nigeria","","Dog","Canis familiaris",1996,"Cosmopolitan","MexSK-2","","[18]","P","Troupin","Clust_27"
"JQ944704","184VNO","Russia","","Raccoon dog","Nyctereutes procyonoides",2009,"Cosmopolitan","NEE","Original brain","Chupin et al. unpublished","Complete genome","Kuzmin","Clust_3"
"KX148148","93038EST","Estonia","","Red fox","Vulpes vulpes",1992,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148149","93039EST","Estonia","","Raccoon dog","Nyctereutes procyonoides",1991,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148155","93041EST","Estonia","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148156","93042EST","Estonia","","Raccoon dog","Nyctereutes procyonoides",1991,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148157","93043EST","Estonia","","Raccoon dog","Nyctereutes procyonoides",1993,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148146","93046FIN","Finland","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148147","93048FIN","Finland","","Raccoon dog","Nyctereutes procyonoides",1988,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148158","93105EST","Estonia","","Red fox","Vulpes vulpes",1993,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"U43432","9342EST","Estonia","","Raccoon dog","Nyctereutes procyonoides",1991,"Cosmopolitan","NEE","","[6]","N","Troupin","Clust_3"
"KX148150","96026POL","Poland","","Raccoon dog","Nyctereutes procyonoides",1986,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148151","96042POL","Poland","","Red fox","Vulpes vulpes",1996,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148153","96097POL","Poland","","Raccoon dog","Nyctereutes procyonoides",1996,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148152","96142POL","Poland","","Raccoon dog","Nyctereutes procyonoides",1996,"Cosmopolitan","NEE","Original brain","This study","Complete genome","Kuzmin","Clust_3"
"KX148154","97078POL","Poland","","Raccoon dog","Nyctereutes procyonoides",1997,"Cosmopolitan","NEE","Cosmopolitan – NEE","This study","Complete genome","Kuzmin","Clust_3"
"AY352474","RV1596","Russia","Pskov","Red fox","Vulpes vulpes",1987,"Cosmopolitan","NEE","Mouse","[5]","N","Troupin","Clust_3"
"KF154997","RV437","Estonia","","Raccoon dog","Nyctereutes procyonoides",NA,"Cosmopolitan","NEE","Mouse","","Complete genome","Kuzmin","Clust_3"
"JQ685984","A10-3020","TX","","Gray Fox","Urocyon cinereoargenteus",2008,"Cosmopolitan","TXFX","Original brain","Troupin","G","Troupin","Clust_27"
"JQ685995","Fox-8007","TX","","Gray Fox","Urocyon cinereoargenteus",2008,"Cosmopolitan","TXFX","Original brain","Troupin","G","Troupin","Clust_27"
"JQ685943","A10-0511","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Cosmopolitan","AM2b","Original brain","This study","Complete genome","Troupin","Clust_26"
"JQ685899","A10-0515","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Cosmopolitan","Ungrouped","Original brain","This study","Complete genome","Troupin","Clust_26"
"JQ685894","CA982","USA","CA","Striped skunk","Mephitis mephitis",1994,"Cosmopolitan","Ungrouped","Original brain","This study","Complete genome","Troupin","Clust_32"
"JQ685970","CASK2","USA","CA","Striped skunk","Mephitis mephitis",1974,"Cosmopolitan","AM4","Original brain","Troupin","Complete genome","Troupin","Clust_31"
"JQ685975","MEXSK3636","Mexico","","Spotted skunk","Spilogale putorius",2009,"Cosmopolitan","Ungrouped","Mouse","Troupin","Complete genome","Troupin","Clust_27"
"NC_001542","PV_RefSeq",NA,"","Vaccine strain","Vaccine strain",NA,"Cosmopolitan","Vac",NA,"This study","Complete genome","Kuzmin","Clust_18"
"M31046","SAD B19",NA,"","Vaccine strain","Vaccine strain",NA,"Cosmopolitan","Vac",NA,"This study","Complete genome","Kuzmin","Clust_18"
"KX148133","86111YOU","Bosnia and Herzegovina","","Red fox","Vulpes vulpes",1986,"Cosmopolitan","WE","Mouse","This study","Complete genome","Kuzmin","Clust_9"
"U42706","86111YOU","Yugoslavia","","Red fox","Vulpes vulpes",1986,"Cosmopolitan","WE","","[6]","N","Troupin","Clust_9"
"KX148127","91047FRA","France","","Red fox","Vulpes vulpes",1991,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"EU293115","9147FRA","France","","Red fox","Vulpes vulpes",1991,"Cosmopolitan","WE","","[3]","Complete genome","Troupin","Clust_9"
"KX148135","92001GER","Germany","","Red fox","Vulpes vulpes",1991,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148128","92044FRA","France","","Red fox","Vulpes vulpes",1992,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148134","94029FRA","France","","Red fox","Vulpes vulpes",1994,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148125","94033BEL","Belgium","","Red fox","Vulpes vulpes",1994,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148131","94086SLN","Slovenia","","Red fox","Vulpes vulpes",1994,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148129","94091SLN","Slovenia","","Red fox","Vulpes vulpes",1994,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148132","94094SLN","Slovenia","","Red fox","Vulpes vulpes",1994,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148130","94096SLN","Slovenia","","Red fox","Vulpes vulpes",1994,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148133","94096SLN","Slovenia","","Red fox","Vulpes vulpes",1994,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"KX148126","96002FRA","France","","Red fox","Vulpes vulpes",1996,"Cosmopolitan","WE","Original brain","This study","Complete genome","Kuzmin","Clust_9"
"AF369272","V034.RFX","Switzerland","","Red fox","Vulpes vulpes",1987,"Cosmopolitan","WE","","[18]","P","Troupin","Clust_9"
"AF369273","V285.RFX","Check Republic","","Red fox","Vulpes vulpes",1992,"Cosmopolitan","WE","","[18]","P","Troupin","Clust_9"
"KX148245","09029NEP","Nepal","","Buffalo","Und.",2009,"Indian-Sub","","Original brain","This study","Complete genome","Kuzmin","Clust_49"
"KX148108","11001NEP","Nepal","","Cow","Bos taurus",2011,"Indian-Sub","","Original brain","This study","Complete genome","Kuzmin","Clust_49"
"KX148246","97002IND","India","","Human","Homo sapiens",1997,"Indian-Sub","","Original brain","This study","Complete genome","Kuzmin","Clust_56"
"AB635373","H_1413_09","Sri Lanka","","Golden palm civet","Paradoxurus zeylonensis",2009,"Indian-Sub","","Original brain","","Complete genome","Kuzmin","Clust_55"
"AF369309","I15.DG","India","","Dog","Canis familiaris",1995,"Indian-Sub","","","[18]","P","Troupin","Clust_56"
"AF325489","NEP1-DG","Nepal","","Dog","Canis familiaris",1989,"Indian-Sub","","","[19]","G","Troupin","Clust_49"
"KF154999","RV2417","Sri Lanka","","Dog","Canis familiaris",2008,"Indian-Sub","","Original brain","","Complete genome","Kuzmin","Clust_55"
"JQ685992","SL-cow","Sri Lanka","","Cow","Bos taurus",NA,"Indian-Sub","","Original brain","Troupin","G","Troupin","Clust_55"
"AF369320","V113.DG","Sri Lanka","","Dog","Canis familiaris",1986,"Indian-Sub","","","[18]","P","Troupin","Clust_55"
"AF369321","V118.DG","Sri Lanka","","Dog","Canis familiaris",1986,"Indian-Sub","","","[18]","P","Troupin","Clust_55"
"AB041966","","Sri Lanka","","Dog","Canis familiaris",1996,"Indian-Sub","","","[8]","N","Troupin","Clust_55"
"AY138549","","Sri Lanka","","Dog","Canis familiaris",1986,"Indian-Sub","","","[9]","N","Troupin","Clust_55"
"JQ685929","MEXSK3644","Mexico","","Spotted skunk","Spilogale putorius",2009,"RAC-SK","","Mouse","This study","Complete genome","Troupin","Clust_59"
"JQ685994","A09-0103","AL","","Coyote","Canis latrans",2009,"RAC-SK","","Original brain","Troupin","G","Troupin","Clust_63"
"AF369294","FL.RAC","USA","FL","Raccoon","Procyon lotor",1987,"RAC-SK","","","[18]","P","Troupin","Clust_63"
"AF369293","NY.RAC","USA","NY","Raccoon","Procyon lotor",1992,"RAC-SK","","","[18]","P","Troupin","Clust_63"
"JQ685954","MXSK13938","Mexico","","Spotted skunk","Spilogale putorius",2007,"RAC-SK","","Mouse","This study","Complete genome","Troupin","Clust_59"
"JQ685901","RAC","USA","GA","Raccoon","Procyon lotor",2003,"RAC-SK","","Mouse","This study","Complete genome","Troupin","Clust_63"
"EU311738","RRV_ON_99","Canada","ON","Raccoon","Procyon lotor",1999,"RAC-SK","","Original brain","[4]","Complete genome","Troupin","Clust_63"
"JQ685968","A10-0512","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2009,"RAC-SK","","Original brain","Troupin","Complete genome","Troupin","Clust_64"
"JQ685938","A10-0514","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2009,"RAC-SK","","Original brain","This study","Complete genome","Troupin","Clust_64"
"JQ685986","A10-3013","TX","","Striped skunk","Mephitis mephitis",2009,"RAC-SK","","Original brain","Troupin","G","Troupin","Clust_64"
"JQ685993","A08-0500","CO","","Cat","Felis catus",2008,"RAC-SK","","Original brain","Troupin","G","Troupin","Clust_64"
"JQ685991","A09-0255","OK","","Wolf","Canis lupus",2009,"RAC-SK","","Original brain","Troupin","G","Troupin","Clust_64"
"AF369287","V211.SK","USA","TX","Striped skunk","Mephitis mephitis",1994,"RAC-SK","","","[18]","P","Troupin","Clust_64"
"AF369291","V216.SK","USA","TX","Striped skunk","Mephitis mephitis",1994,"RAC-SK","","","[18]","P","Troupin","Clust_64"
"JQ686008","A11-5404","USA","AZ","Gray Fox","Urocyon cinereoargenteus",2011,"Ungrouped","Ungrouped","Original brain","Troupin","G","Troupin","Clust_79"
"JQ685955","AZ4490","USA","AZ","Yuma myotis","Myotis yumanensis",2005,"Bats","MYu","N-P-M-G - original brain; L and termini - mouse","Troupin","Complete genome","Troupin","Clust_79"
